"STCode","CorrectId","CurrentDbId","IdChanged","LocationName"
"HB59","350","2895","Y","MUZAFFARPUR"
"HH15","359","2712","Y","FATEHABAD"
"HH16","360","2701","Y","AMBALA CANTT"
"HH17","361","2710","Y","KURUKSHETRA"
"HH18","362","2695","Y","SONIPAT"
"HI07","363","2740","Y","UNA"
"HJ28","365","2949","Y","RANCHI(PISCA)"
"HJ29","366","2959","Y","GIRIDIH (JAMUA RD)"
"HJ30","367","2954","Y","GODDA(V MART BESIDE)"
"HK24","370","2541","Y","CHIKKAMAGALURU"
"HM41","371","2911","Y","JABALPUR-2"
"HN42","373","2662","Y","NORTH LAKHIMPUR"
"HO43","375","2630","Y","RAYAGADA"
"HP06","376","2733","Y","BATALA"
"HP07","377","2749","Y","MOHALI"
"HP08","378","2744","Y","DHURI"
"HP09","379","2742","Y","KAPURTHALA"
"HP10","380","2704","Y","NAWANSHAHR"
"HP16","381","2735","Y","FATEHGARH"
"HR20","382","2832","Y","SRI GANGANAGAR"
"HY01","408","2973","Y","HANAMKONDA(MULUG ROAD CROSING)"
"U108","409","2761","Y","PHAPHAMAU"
"U112","410","2974","Y","MUZAFFARNAGAR"
"U114","411","2763","Y","GORAKHPUR (MEDICAL ROAD)"
"HM44","412","2916","Y","UJJAIN-2"
"HO45","417","2608","Y","TALCHER"
"HO44","418","2617","Y","BARGARH-2"
"HK25","420","2535","Y","UTTARAHALLI"
"HW29","421","3078","Y","BARRACKPORE"
"HC03","422","2782","Y","BILASPUR"
"HV01","423","2809","Y","DINDOLI"
"HK27","424","2550","Y","BELGAUM-3"
"HW31","425","2591","Y","KANCHRAPARA"
"HO46","426","2563","Y","BALASORE-2"
"HP12","427","2727","Y","JALANDHAR"
"HP11","428","2702","Y","HOSHIARPUR"
"HX15","429","2668","Y","DODA"
"HN43","430","2649","Y","IMPHAL-PCTC-MALL"
"HP13","431","2737","Y","TARN TARAN"
"HM42","432","2910","Y","AMOUDHA-SATNA"
"HR22","433","2823","Y","JAIPUR (MANSAROVAR)"
"U115","434","2787","Y","KHODA"
"U116","435","2853","Y","PILLIBHIT"
"HB61","436","2867","Y","PATNA(BHOOTHNATH)"
"HB62","437","2866","Y","GAYA-2"
"HC05","438","2795","Y","JAGDALPUR(BESIDE VMM)"
"U113","439","2852","Y","MAINPURI"
"HX51","440","2569","Y","OSMANABAD"
"HA12","441","2638","Y","NAHARLAGUN"
"HN44","442","2657","Y","GOLAGHAT TOWN"
"HB64","443","2871","Y","DARBHANGA-2"
"HB63","457","2945","Y","PATNA-4"
"HC04","458","3015","Y","RAIGARH"
"HH19","459","2713","Y","REWARI"
"HJ31","460","2957","Y","DHANBAD (GOVINDPUR)"
"HK26","461","2540","Y","BANGALORE (CHANDAPURA)"
"HK28","462","2552","Y","BIDAR"
"HM45","463","2909","Y","RATLAM"
"HN45","464","2648","Y","SIVASAGAR"
"HP14","465","2746","Y","ABOHAR-FAZILKA"
"HR23","466","2833","Y","SIKAR"
"HR24","467","2824","Y","JHUNJHUNU"
"HT23","468","2699","Y","ALMORA"
"HW30","469","3079","Y","JALPAIGURI"
"U117","470","2775","Y","AYODHYA"
"HH20","471","2687","Y","GURUGRAM SEC-14"
"HX16","472","2669","Y","ANANTNAG"
"HX17","473","2721","Y","RAJOURI"
"HR25","474","2821","Y","BIKANER GOGA GATE"
"HN48","475","2667","Y","UDALGURI"
"HN47","476","2672","Y","MORIGOAN"
"HN46","477","2642","Y","MANGALDAI"
"HS03","478","2559","Y","ANAKAPALLI"
"HM46","479","2926","Y","SINGRAULI (WAIDHAN)"
"HR26","480","2825","Y","NAGAUR"
"HS04","482","2532","Y","VISHAKHAPATNAM"
"HX18","483","2726","Y","BUDGAM"
"HP17","484","2729","Y","BATHINDA (AMRIK SINGH ROAD)"
"HN49","485","2651","Y","HAILAKANDI"
"HK30","486","2539","Y","MANDYA"
"HN80","487","2650","Y","KANCHIPUR IMPHAL(MANIPUR)"
"HR27","488","2827","Y","RAJSAMAND"
"HS06","489","2529","Y","MADANAPALLI"
"HB65","490","2861","Y","PATNA (RAJEEV NAGAR)"
"HS05","491","2530","Y","GUNTUR(ANDHRA PRADESH)"
"HH21","492","2714","Y","BADSHAHPUR GURGAON"
"HM48","493","2907","Y","GWALIOR 2"
"HM49","494","2918","Y","INDORE (MANGAL CITY)"
"U118","495","2792","Y","SIKOHABAD"
"HR28","496","2829","Y","AJMER"
"HT24","497","2698","Y","CHAMPAWAT"
"HM47","498","2903","Y","BHOPAL(RAISEN ROAD)"
